"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","3","C1-C3","1uF-10%-25V-0603","Kyocera","06033C105KAT2A","Digikey","478-10046-1-ND"
"2","1","D2","NRVB120VLSFT1G","onsemi","NRVB120VLSFT1G","Digikey","NRVB120VLSFT1GOSCT-ND"
"3","2","D1,D4","-- mixed values --","Wurth Electronik","150060GS75000","Digikey","732-4971-1-ND"
"4","2","D3,D5","-- mixed values --","Wurth Electronik","150060RS75000","Digikey","732-4978-1-ND"
"5","1","J2","0015912055","Molex","0015912055","Digikey","WM1343-ND"
"6","1","Q1","BSS84","onsemi","BSS84","Digikey","BSS84CT-ND"
"7","4","R1,R5-R7","1.00k-1%-0603","YAGEO","RC0603FR-071KL","Digikey","311-1.00KHRCT-ND"
"8","3","R2-R4","100R-1%-0603","YAGEO","RC0603FR-07100RL","Digikey","311-100HRCT-ND"
"9","1","U1","AP2120N-3.3TRG1","Diodes Inc","AP2120N-3.3TRG1","Digikey","AP2120N-3.3TRG1DICT-ND"
"10","1","U2","MA732GQ","Monolithic Power Systems","MA732GQ-Z","Digikey","1589-MA732GQ-ZCT-ND"
